ISO_639_1,ISO_639_2_B,ISO_639_2_T,ISO_639_3,Nome_Inglese,Nome_Italiano
ss,ssw,ssw,ssw,Swati,Swati
st,sot,sot,sot,"Sotho, Southern",Sotho del sud
su,sun,sun,sun,Sundanese,Sundanese
sv,swe,swe,swe,Swedish,Svedese
sw,swa,swa,swa,Swahili,Swahili
ta,tam,tam,tam,Tamil,Tamil
te,tel,tel,tel,Telugu,Telugu
tg,tgk,tgk,tgk,Tajik,Tagiko
th,tha,tha,tha,Thai,Tailandese
ti,tir,tir,tir,Tigrinya,Tigrino
tk,tuk,tuk,tuk,Turkmen,Turcomanno
tl,tgl,tgl,tgl,Tagalog,Tagalog
tn,tsn,tsn,tsn,Tswana,Tswana
to,ton,ton,ton,Tonga (Tonga Islands),Tongano
tr,tur,tur,tur,Turkish,Turco
ts,tso,tso,tso,Tsonga,Tsonga
tt,tat,tat,tat,Tatar,Tataro
tw,twi,twi,twi,Twi,Twi
ty,tah,tah,tah,Tahitian,Tahitiano
ug,uig,uig,uig,Uighur; Uyghur,Uiguro
uk,ukr,ukr,ukr,Ukrainian,Ucraino
ur,urd,urd,urd,Urdu,Urdu
uz,uzb,uzb,uzb,Uzbek,Uzbeco
ve,ven,ven,ven,Venda,Venda
vi,vie,vie,vie,Vietnamese,Vietnamita
vo,vol,vol,vol,Volapük,Volapük
wa,wln,wln,wln,Walloon,Vallone
wo,wol,wol,wol,Wolof,Wolof
xh,xho,xho,xho,Xhosa,Xhosa
yi,yid,yid,yid,Yiddish,Yiddish
yo,yor,yor,yor,Yoruba,Yoruba
za,zha,zha,zha,Zhuang; Chuang,Zhuang
zh,chi,zho,zho,Chinese,Cinese
zu,zul,zul,zul,Zulu,Zulu
,ast,ast,ast,Asturian; Bable,Asturiano
,ceb,ceb,ceb,Cebuano,Cebuano
,ckb,ckb,ckb,Central Kurdish (Sorani),Curdo centrale (Sorani)
,fil,fil,fil,Filipino; Pilipino,Filippino
,fur,fur,fur,Friulian,Friulano
,haw,haw,haw,Hawaiian,Hawaiano
,kab,kab,kab,Kabyle,Cabilo
,lad,lad,lad,Ladino,Ladino giudeo-spagnolo
,lld,lld,lld,Ladin,Ladino dolomitico
,nap,nap,nap,Neapolitan,Napoletano
,pms,pms,pms,Piedmontese,Piemontese
,scn,scn,scn,Sicilian,Siciliano
,sco,sco,sco,Scots,Scozzese (Scots)
,szl,szl,szl,Silesian,Slesiano
,vec,vec,vec,Venetian,Veneto
,yue,yue,yue,Yue Chinese; Cantonese,Cinese Cantonese
